query,runtime (ms),db,engine
SELECT COUNT( * ) FROM CONTINENTS AS CONTINENTSalias0 ;,4.633903503417969,car_1,mysql
"SELECT CONTINENTSalias0.CONTID , CONTINENTSalias0.CONTINENT , COUNT( * ) FROM CONTINENTS AS CONTINENTSalias0 JOIN COUNTRIES AS COUNTRIESalias0 ON COUNTRIESalias0.CONTINENT = CONTINENTSalias0.CONTID GROUP BY CONTINENTSalias0.CONTID ;",1.7538070678710938,car_1,mysql
SELECT COUNT( * ) FROM COUNTRIES AS COUNTRIESalias0 ;,0.5640983581542969,car_1,mysql
"SELECT CAR_MAKERSalias0.FULLNAME , CAR_MAKERSalias0.ID , COUNT( * ) FROM CAR_MAKERS AS CAR_MAKERSalias0 JOIN MODEL_LIST AS MODEL_LISTalias0 ON MODEL_LISTalias0.MAKER = CAR_MAKERSalias0.ID GROUP BY CAR_MAKERSalias0.ID ;",2.994060516357422,car_1,mysql
SELECT CAR_NAMESalias0.MODEL FROM CAR_NAMES AS CAR_NAMESalias0 JOIN CARS_DATA AS CARS_DATAalias0 ON CAR_NAMESalias0.MAKEID = CARS_DATAalias0.ID ORDER BY CARS_DATAalias0.HORSEPOWER ASC LIMIT 1 ;,3.570079803466797,car_1,mysql
SELECT CAR_NAMESalias0.MODEL FROM CAR_NAMES AS CAR_NAMESalias0 JOIN CARS_DATA AS CARS_DATAalias0 ON CAR_NAMESalias0.MAKEID = CARS_DATAalias0.ID WHERE CARS_DATAalias0.WEIGHT < ( SELECT AVG( CARS_DATAalias1.WEIGHT ) FROM CARS_DATA AS CARS_DATAalias1 ) ;,4.473209381103516,car_1,mysql
"SELECT DISTINCT CAR_MAKERSalias0.MAKER FROM CAR_MAKERS AS CAR_MAKERSalias0 JOIN MODEL_LIST AS MODEL_LISTalias0 ON MODEL_LISTalias0.MAKER = CAR_MAKERSalias0.ID JOIN CAR_NAMES AS CAR_NAMESalias0 ON MODEL_LISTalias0.MODEL = CAR_NAMESalias0.MODEL JOIN CARS_DATA AS CARS_DATAalias0 ON CAR_NAMESalias0.MAKEID = CARS_DATAalias0.ID WHERE CARS_DATAalias0.YEAR = ""1970"" ;",2.851247787475586,car_1,mysql
"SELECT CARS_DATAalias0.YEAR , CAR_NAMESalias0.MAKE FROM CARS_DATA AS CARS_DATAalias0 JOIN CAR_NAMES AS CAR_NAMESalias0 ON CAR_NAMESalias0.MAKEID = CARS_DATAalias0.ID WHERE CARS_DATAalias0.YEAR = ( SELECT MIN( CARS_DATAalias1.YEAR ) FROM CARS_DATA AS CARS_DATAalias1 ) ;",1.5769004821777344,car_1,mysql
SELECT DISTINCT MODEL_LISTalias0.MODEL FROM MODEL_LIST AS MODEL_LISTalias0 JOIN CAR_NAMES AS CAR_NAMESalias0 ON MODEL_LISTalias0.MODEL = CAR_NAMESalias0.MODEL JOIN CARS_DATA AS CARS_DATAalias0 ON CAR_NAMESalias0.MAKEID = CARS_DATAalias0.ID WHERE CARS_DATAalias0.YEAR > 1980 ;,1.6007423400878906,car_1,mysql
"SELECT CONTINENTSalias0.CONTINENT , COUNT( * ) FROM CONTINENTS AS CONTINENTSalias0 JOIN COUNTRIES AS COUNTRIESalias0 ON COUNTRIESalias0.CONTINENT = CONTINENTSalias0.CONTID JOIN CAR_MAKERS AS CAR_MAKERSalias0 ON COUNTRIESalias0.COUNTRYID = CAR_MAKERSalias0.COUNTRY GROUP BY CONTINENTSalias0.CONTINENT ;",0.8769035339355469,car_1,mysql
"SELECT CARS_DATAalias0.ACCELERATE FROM CARS_DATA AS CARS_DATAalias0 JOIN CAR_NAMES AS CAR_NAMESalias0 ON CAR_NAMESalias0.MAKEID = CARS_DATAalias0.ID WHERE CAR_NAMESalias0.MAKE = ""amc hornet sportabout (sw)"" ;",1.0480880737304688,car_1,mysql
"SELECT COUNT( * ) FROM CAR_MAKERS AS CAR_MAKERSalias0 JOIN COUNTRIES AS COUNTRIESalias0 ON COUNTRIESalias0.COUNTRYID = CAR_MAKERSalias0.COUNTRY WHERE COUNTRIESalias0.COUNTRYNAME = ""france"" ;",0.640869140625,car_1,mysql
"SELECT COUNT( * ) FROM MODEL_LIST AS MODEL_LISTalias0 JOIN CAR_MAKERS AS CAR_MAKERSalias0 ON MODEL_LISTalias0.MAKER = CAR_MAKERSalias0.ID JOIN COUNTRIES AS COUNTRIESalias0 ON COUNTRIESalias0.COUNTRYID = CAR_MAKERSalias0.COUNTRY WHERE COUNTRIESalias0.COUNTRYNAME = ""usa"" ;",0.8530616760253906,car_1,mysql
SELECT AVG( CARS_DATAalias0.MPG ) FROM CARS_DATA AS CARS_DATAalias0 WHERE CARS_DATAalias0.CYLINDERS = 4 ;,0.9081363677978516,car_1,mysql
SELECT CARS_DATAalias0.WEIGHT FROM CARS_DATA AS CARS_DATAalias0 WHERE CYLINDERS = 4 AND YEAR = 1974 ORDER BY CARS_DATAalias0.WEIGHT ASC LIMIT 1 ;,0.8890628814697266,car_1,mysql
"SELECT MODEL_LISTalias0.MAKER , MODEL_LISTalias0.MODEL FROM MODEL_LIST AS MODEL_LISTalias0 ;",0.5869865417480469,car_1,mysql
"SELECT COUNTRIESalias0.COUNTRYID , COUNTRIESalias0.COUNTRYNAME FROM COUNTRIES AS COUNTRIESalias0 JOIN CAR_MAKERS AS CAR_MAKERSalias0 ON COUNTRIESalias0.COUNTRYID = CAR_MAKERSalias0.COUNTRY GROUP BY COUNTRIESalias0.COUNTRYID HAVING COUNT( * ) >= 1 ;",0.6680488586425781,car_1,mysql
SELECT COUNT( * ) FROM CARS_DATA AS CARS_DATAalias0 WHERE CARS_DATAalias0.HORSEPOWER > 150 ;,0.762939453125,car_1,mysql
"SELECT AVG( CARS_DATAalias0.WEIGHT ) , CARS_DATAalias0.YEAR FROM CARS_DATA AS CARS_DATAalias0 GROUP BY CARS_DATAalias0.YEAR ;",1.1451244354248047,car_1,mysql
"SELECT COUNTRIESalias0.COUNTRYNAME FROM COUNTRIES AS COUNTRIESalias0 JOIN CONTINENTS AS CONTINENTSalias0 ON COUNTRIESalias0.CONTINENT = CONTINENTSalias0.CONTID JOIN CAR_MAKERS AS CAR_MAKERSalias0 ON COUNTRIESalias0.COUNTRYID = CAR_MAKERSalias0.COUNTRY WHERE CONTINENTSalias0.CONTINENT = ""europe"" GROUP BY COUNTRIESalias0.COUNTRYNAME HAVING COUNT( * ) >= 3 ;",0.7989406585693359,car_1,mysql
"SELECT CARS_DATAalias0.HORSEPOWER , CAR_NAMESalias0.MAKE FROM CAR_NAMES AS CAR_NAMESalias0 JOIN CARS_DATA AS CARS_DATAalias0 ON CAR_NAMESalias0.MAKEID = CARS_DATAalias0.ID WHERE CARS_DATAalias0.CYLINDERS = 3 ORDER BY CARS_DATAalias0.HORSEPOWER DESC LIMIT 1 ;",0.9350776672363281,car_1,mysql
SELECT CAR_NAMESalias0.MODEL FROM CAR_NAMES AS CAR_NAMESalias0 JOIN CARS_DATA AS CARS_DATAalias0 ON CAR_NAMESalias0.MAKEID = CARS_DATAalias0.ID ORDER BY CARS_DATAalias0.MPG DESC LIMIT 1 ;,1.4510154724121094,car_1,mysql
SELECT AVG( CARS_DATAalias0.HORSEPOWER ) FROM CARS_DATA AS CARS_DATAalias0 WHERE CARS_DATAalias0.YEAR < 1980 ;,0.6301403045654297,car_1,mysql
"SELECT AVG( CARS_DATAalias0.EDISPL ) FROM CAR_NAMES AS CAR_NAMESalias0 JOIN CARS_DATA AS CARS_DATAalias0 ON CAR_NAMESalias0.MAKEID = CARS_DATAalias0.ID WHERE CAR_NAMESalias0.MODEL = ""volvo"" ;",0.9131431579589844,car_1,mysql
"SELECT CARS_DATAalias0.CYLINDERS , MAX( CARS_DATAalias0.ACCELERATE ) FROM CARS_DATA AS CARS_DATAalias0 GROUP BY CARS_DATAalias0.CYLINDERS ;",0.6380081176757812,car_1,mysql
SELECT CAR_NAMESalias0.MODEL FROM CAR_NAMES AS CAR_NAMESalias0 GROUP BY MODEL ORDER BY COUNT( * ) DESC LIMIT 1 ;,0.7119178771972656,car_1,mysql
SELECT COUNT( * ) FROM CARS_DATA AS CARS_DATAalias0 WHERE CARS_DATAalias0.CYLINDERS > 4 ;,0.5161762237548828,car_1,mysql
SELECT COUNT( * ) FROM CARS_DATA AS CARS_DATAalias0 WHERE CARS_DATAalias0.YEAR = 1980 ;,0.46896934509277344,car_1,mysql
"SELECT COUNT( * ) FROM CAR_MAKERS AS CAR_MAKERSalias0 JOIN MODEL_LIST AS MODEL_LISTalias0 ON MODEL_LISTalias0.MAKER = CAR_MAKERSalias0.ID WHERE CAR_MAKERSalias0.FULLNAME = ""American Motor Company"" ;",0.4448890686035156,car_1,mysql
"SELECT CAR_MAKERSalias0.FULLNAME , CAR_MAKERSalias0.ID FROM CAR_MAKERS AS CAR_MAKERSalias0 JOIN MODEL_LIST AS MODEL_LISTalias0 ON MODEL_LISTalias0.MAKER = CAR_MAKERSalias0.ID GROUP BY CAR_MAKERSalias0.ID HAVING COUNT( * ) > 3 ;",0.5078315734863281,car_1,mysql
